City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
1,Rikitea,PF,75.02,overcast clouds,-23.1203,-134.9692,People ThankYou
2,Butaritari,KI,81.88,few clouds,3.0707,172.7902,Isles Sunset Lodge
3,Castro,BR,80.29,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Sao Filipe,CV,74.79,scattered clouds,14.8961,-24.4956,Hotel Xaguate
5,Padang,ID,76.53,overcast clouds,-0.9492,100.3543,Mercure Padang
6,Port Alfred,ZA,63.48,overcast clouds,-33.5906,26.891,The Halyards Hotel
11,Busselton,AU,59.09,overcast clouds,-33.65,115.3333,Observatory Guest House
12,Faanui,PF,79.95,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
14,Jamestown,US,46.09,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Rio Grande,BR,71.94,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
16,Moroni,KM,82.4,few clouds,-11.7022,43.2551,Hotel les Arcades
18,Parrita,CR,92.01,overcast clouds,9.5201,-84.3225,Beso del Viento
19,Sultanpur,IN,57.96,clear sky,26.2667,82.0667,OYO 49568 Vrindavan Guest House
21,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
22,Ponta Do Sol,PT,66.83,overcast clouds,32.6667,-17.1,Hotel do Campo
25,Hobart,AU,62.46,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
26,Caxito,AO,77.65,light rain,-8.5785,13.6643,
27,Bluff,NZ,53.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
29,Labuhan,ID,80.28,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
30,Kapaa,US,73.11,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Cidreira,BR,72.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
33,Naze,JP,53.51,light rain,28.3667,129.4833,Shishime Hotel
34,Mar Del Plata,AR,80.62,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
36,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Ushuaia,AR,56.86,scattered clouds,-54.8,-68.3,Albatros Hotel
38,Bahia De Caraquez,EC,80.78,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
39,Ardesen,TR,48.16,overcast clouds,41.1911,40.9875,Green Suada Hotel
40,Sakakah,SA,56.68,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
42,Port Elizabeth,ZA,63.1,few clouds,-33.918,25.5701,39 On Nile Guest House
43,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
44,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
45,Garoua,CM,77.4,broken clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
