City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Cristobal,VE,7.7669,-72.225,69.98,71,91,4.0,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,75.02,72,86,16.31,overcast clouds
2,Butaritari,KI,3.0707,172.7902,81.88,79,19,15.35,few clouds
3,Castro,BR,-24.7911,-50.0119,80.29,58,64,4.23,broken clouds
4,Sao Filipe,CV,14.8961,-24.4956,74.79,75,48,4.9,scattered clouds
5,Padang,ID,-0.9492,100.3543,76.53,97,100,11.34,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,63.48,61,87,20.87,overcast clouds
7,Sovetskiy,RU,61.3614,63.5842,5.13,95,100,5.73,overcast clouds
8,Helena,US,46.5927,-112.0361,18.18,58,7,4.0,snow
9,Torbay,CA,47.6666,-52.7314,31.75,96,90,27.63,snow
10,Clinton,US,42.587,-82.9199,43.97,54,95,1.01,overcast clouds
11,Busselton,AU,-33.65,115.3333,59.09,69,100,17.27,overcast clouds
12,Faanui,PF,-16.4833,-151.75,79.95,75,37,13.53,moderate rain
13,Qaanaaq,GL,77.484,-69.3632,-8.37,95,100,3.24,overcast clouds
14,Jamestown,US,42.097,-79.2353,46.09,52,98,12.28,overcast clouds
15,Rio Grande,BR,-32.035,-52.0986,71.94,75,37,17.83,scattered clouds
16,Moroni,KM,-11.7022,43.2551,82.4,69,20,5.75,few clouds
17,Longyearbyen,SJ,78.2186,15.6401,31.84,69,40,19.57,scattered clouds
18,Parrita,CR,9.5201,-84.3225,92.01,79,95,5.93,overcast clouds
19,Sultanpur,IN,26.2667,82.0667,57.96,44,0,9.91,clear sky
20,Saint George,US,37.1041,-113.5841,44.64,57,0,1.01,clear sky
21,Vaini,TO,-21.2,-175.2,78.96,94,40,8.05,scattered clouds
22,Ponta Do Sol,PT,32.6667,-17.1,66.83,75,100,7.63,overcast clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,14.97,light snow
24,Khatanga,RU,71.9667,102.5,-37.86,100,98,4.34,overcast clouds
25,Hobart,AU,-42.8794,147.3294,62.46,55,100,1.99,overcast clouds
26,Caxito,AO,-8.5785,13.6643,77.65,97,100,2.93,light rain
27,Bluff,NZ,-46.6,168.3333,53.8,70,68,25.26,broken clouds
28,Urusha,RU,54.05,122.9,-12.42,94,100,2.1,overcast clouds
29,Labuhan,ID,-6.8844,112.2051,80.28,84,100,2.71,overcast clouds
30,Kapaa,US,22.0752,-159.319,73.11,77,12,3.0,light rain
31,Hegang,CN,47.4,130.3667,-14.87,89,3,5.01,clear sky
32,Cidreira,BR,-30.1811,-50.2056,72.93,80,26,15.41,scattered clouds
33,Naze,JP,28.3667,129.4833,53.51,67,100,19.95,light rain
34,Mar Del Plata,AR,-38.0023,-57.5575,80.62,89,0,18.99,moderate rain
35,Carndonagh,IE,55.25,-7.2667,37.02,94,10,5.3,clear sky
36,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,100,4.0,overcast clouds
37,Ushuaia,AR,-54.8,-68.3,56.86,67,40,12.66,scattered clouds
38,Bahia De Caraquez,EC,-0.6,-80.4167,80.78,78,95,9.15,overcast clouds
39,Ardesen,TR,41.1911,40.9875,48.16,78,100,2.33,overcast clouds
40,Sakakah,SA,29.9697,40.2064,56.68,43,67,8.86,broken clouds
41,Cowansville,CA,45.2001,-72.7491,44.38,62,87,16.73,overcast clouds
42,Port Elizabeth,ZA,-33.918,25.5701,63.1,67,20,14.97,few clouds
43,Bambous Virieux,MU,-20.3428,57.7575,78.22,83,75,3.44,broken clouds
44,Hermanus,ZA,-34.4187,19.2345,61.81,70,0,23.89,clear sky
45,Garoua,CM,9.3,13.4,77.4,29,55,3.44,broken clouds
46,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,89,75,8.05,broken clouds
47,Albany,US,42.6001,-73.9662,53.58,35,45,11.25,scattered clouds
48,Stornoway,GB,58.2093,-6.3865,48.16,85,75,9.22,broken clouds
49,Lyubech,UA,51.7026,30.6569,34.05,91,99,12.26,overcast clouds
